epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,82.4522,0.6405,0.48066,0.87701,0.94713,0.97754,0.97738,0.8357,0.60245,0.44817,0.79037,0.005842,0.005842,0.005842
44,84.048,0.63256,0.47966,0.88564,0.98007,0.93822,0.97626,0.81909,0.67464,0.49803,0.81511,0.005743,0.005743,0.005743
45,85.5729,0.65064,0.4839,0.87039,0.91233,0.97266,0.98277,0.80305,0.72,0.50268,0.7953,0.005644,0.005644,0.005644
46,87.1248,0.69226,0.50845,0.87446,0.92766,0.95095,0.98202,0.83347,0.66702,0.44452,0.76979,0.005545,0.005545,0.005545
47,88.7176,0.70024,0.49867,0.87883,0.96017,0.94535,0.98248,0.82993,0.6878,0.44968,0.78033,0.005446,0.005446,0.005446
48,90.4708,0.65573,0.47822,0.87071,0.96745,0.94745,0.98313,0.82328,0.64202,0.40444,0.80916,0.005347,0.005347,0.005347
49,92.0175,0.63365,0.46397,0.87104,0.97454,0.96217,0.9833,0.85268,0.60071,0.418,0.76701,0.005248,0.005248,0.005248
50,93.6213,0.6162,0.44744,0.86319,0.95323,0.95051,0.98012,0.82508,0.66345,0.44864,0.77145,0.005149,0.005149,0.005149
51,95.2935,0.61713,0.44815,0.86541,0.99062,0.92458,0.98404,0.83693,0.59953,0.43336,0.77865,0.00505,0.00505,0.00505
52,96.9773,0.6015,0.44118,0.86585,0.93632,0.94675,0.97601,0.83724,0.66485,0.41996,0.76734,0.004951,0.004951,0.004951
53,98.7597,0.604,0.44988,0.8585,0.96455,0.94909,0.96907,0.83245,0.5702,0.44108,0.76708,0.004852,0.004852,0.004852
54,100.5,0.60315,0.45243,0.85512,0.88907,0.97469,0.98007,0.84589,0.59717,0.41998,0.77437,0.004753,0.004753,0.004753
55,102.112,0.6339,0.44989,0.85724,0.88557,0.95056,0.94903,0.79587,0.58895,0.48867,0.8063,0.004654,0.004654,0.004654
56,103.666,0.6157,0.44934,0.84968,0.89874,0.94574,0.95671,0.82912,0.60109,0.50255,0.78468,0.004555,0.004555,0.004555
57,105.221,0.60595,0.44406,0.8622,0.93345,0.92091,0.96359,0.81429,0.70175,0.46368,0.76912,0.004456,0.004456,0.004456
58,106.778,0.65135,0.45819,0.86519,0.93762,0.92556,0.9672,0.80018,0.73101,0.47984,0.79455,0.004357,0.004357,0.004357
59,108.517,0.65252,0.45098,0.87357,0.94316,0.92001,0.95754,0.83291,0.67761,0.4537,0.81535,0.004258,0.004258,0.004258
60,110.179,0.6242,0.44421,0.87092,0.95048,0.91793,0.9595,0.84321,0.55245,0.43845,0.77278,0.004159,0.004159,0.004159
